interest_expense,date,total_assets,state,bank_id,gross_loans,interest_income,net_loans,charge_offs,total_deposits,id,net_interest_margin,charge_off_rate
65.0,2010-03-31,31337,MINNESOTA,10186,12396,339.0,12258,47.08639035070872,26033,10186_20100331,0.0087,0.0038
74.0,2010-03-31,33444,MINNESOTA,10187,5935,205.0,5178,19.41652917354132,26668,10187_20100331,0.0039,0.0033
220.0,2010-03-31,54311,MINNESOTA,10191,43056,845.0,42212,92.37165740294981,45698,10191_20100331,0.0115,0.0021
1213.0,2010-03-31,339934,MINNESOTA,10192,269754,5027.0,265246,106.04537731134434,250125,10192_20100331,0.0112,0.0004
281.0,2010-03-31,84586,MINNESOTA,10194,57912,1091.0,57185,75.3207239008456,75922,10194_20100331,0.0096,0.0013
108.0,2010-03-31,51281,MINNESOTA,10196,23659,475.0,23323,49.55908289241622,47061,10196_20100331,0.0072,0.0021
103.0,2010-03-31,25694,MINNESOTA,10197,17071,311.0,16822,71.17109493992216,23636,10197_20100331,0.0081,0.0042
295.0,2010-03-31,95391,MINNESOTA,10198,61025,1000.0,58390,74.08676233616282,78813,10198_20100331,0.0074,0.0012
187.0,2010-03-31,70087,ARKANSAS,101,32195,838.0,31877,53.00377446334448,60141,101_20100331,0.0093,0.0016
38.0,2010-03-31,18978,MINNESOTA,10200,11376,199.0,11242,69.73080262994665,16122,10200_20100331,0.0085,0.0061
141.0,2010-03-31,66941,MINNESOTA,10201,44085,706.0,42847,68.82720511461295,62253,10201_20100331,0.0084,0.0016
158.0,2010-03-31,36166,MINNESOTA,10202,32659,563.0,32184,110.7425504094694,29062,10202_20100331,0.0112,0.0034
650.0,2010-03-31,343283,MINNESOTA,10203,294073,4888.0,288472,101.85402918568892,283221,10203_20100331,0.0123,0.0003
35.0,2010-03-31,20526,MINNESOTA,10204,11700,236.0,11512,66.0584151030011,17427,10204_20100331,0.0098,0.0056
318.0,2010-03-31,78817,MINNESOTA,10206,51421,950.0,50769,81.52650426348498,62273,10206_20100331,0.008,0.0016
394.0,2010-03-31,113401,MINNESOTA,10207,93006,1474.0,91863,99.19446274120226,92609,10207_20100331,0.0095,0.0011
63.0,2010-03-31,39269,MINNESOTA,10208,17614,401.0,17479,48.39281264708325,36119,10208_20100331,0.0086,0.0027
142820.0,2010-03-31,50065908,WISCONSIN,1020,38276306,502229.0,36888926,98.9316200348773,37287296,1020_20100331,0.0072,0.0
1460.0,2010-03-31,228563,MINNESOTA,10212,199322,3191.0,194937,100.87557245983079,193245,10212_20100331,0.0076,0.0005
1697.0,2010-03-31,450478,MINNESOTA,10214,284295,5578.0,279299,72.81660214044555,383565,10214_20100331,0.0086,0.0003
1849.0,2010-03-31,471584,MINNESOTA,10216,358019,4965.0,343814,83.34905054315284,412499,10216_20100331,0.0066,0.0002
325.0,2010-03-31,171429,MINNESOTA,10218,117549,2031.0,116317,76.14412244123095,152759,10218_20100331,0.01,0.0006
916.0,2010-03-31,246634,WISCONSIN,1022,138239,2597.0,137596,61.71165110375573,222966,1022_20100331,0.0068,0.0004
361.0,2010-03-31,103084,NORTH DAKOTA,10236,66739,1221.0,65739,70.2722637334445,93549,10236_20100331,0.0083,0.0011
114.0,2010-03-31,52574,NORTH DAKOTA,10243,31152,613.0,30957,65.0712574095094,47574,10243_20100331,0.0095,0.0021
3708.0,2010-03-31,984417,NORTH DAKOTA,10248,705390,13414.0,696382,84.18564841791203,827198,10248_20100331,0.0099,0.0001
629.0,2010-03-31,195863,NORTH DAKOTA,10249,136408,2695.0,134696,79.88707534636553,168608,10249_20100331,0.0105,0.0006
166.0,2010-03-31,48105,NORTH DAKOTA,10250,23458,460.0,23114,57.05751666255245,40510,10250_20100331,0.0061,0.0024
173.0,2010-03-31,86020,NORTH DAKOTA,10253,36568,954.0,35830,47.90619317574072,74792,10253_20100331,0.0091,0.0013
1385.0,2010-03-31,378683,OHIO,10255,270912,4538.0,265922,84.97811012047423,312930,10255_20100331,0.0083,0.0003
347.0,2010-03-31,86262,OHIO,10266,47518,1139.0,46965,62.5541096711464,75079,10266_20100331,0.0092,0.0013
1748.0,2010-03-31,334568,OHIO,10267,189470,3915.0,187236,64.41753251221358,290660,10267_20100331,0.0065,0.0003
1748.0,2010-03-31,381199,ARKANSAS,1027,298328,4892.0,292654,88.12968271941025,332072,1027_20100331,0.0082,0.0003
239.0,2010-03-31,74904,OHIO,10280,59807,1143.0,59056,89.6553818126613,65870,10280_20100331,0.0121,0.0015
